bairro,tipologia,k_inf,k_sup,pct_corte_baixo,pct_corte_alto,escrituras
MADUREIRA,Casa,3.0,3.5,9.52,0.00,21
MAGALHÃES BASTOS,Apartamento,2.0,2.5,0.00,0.00,4
MAGALHÃES BASTOS,Apartamento,2.5,3.0,0.00,0.00,4
MAGALHÃES BASTOS,Apartamento,3.0,3.5,0.00,0.00,4
MANGUEIRA,Apartamento,2.0,2.5,0.00,0.00,2
MANGUEIRA,Apartamento,2.5,3.0,0.00,0.00,2
MANGUEIRA,Apartamento,3.0,3.5,0.00,0.00,2
MARACANÃ,Apartamento,2.0,2.5,0.00,0.00,794
MARACANÃ,Apartamento,2.5,3.0,0.00,0.00,794
MARACANÃ,Apartamento,3.0,3.5,0.00,0.00,794
MARACANÃ,Casa,2.0,2.5,0.00,0.00,4
MARACANÃ,Casa,2.5,3.0,0.00,0.00,4
MARACANÃ,Casa,3.0,3.5,0.00,0.00,4
MARECHAL HERMES,Apartamento,2.0,2.5,4.08,14.29,98
MARECHAL HERMES,Apartamento,2.5,3.0,4.08,14.29,98
MARECHAL HERMES,Apartamento,3.0,3.5,4.08,14.29,98
MARECHAL HERMES,Casa,2.0,2.5,13.33,13.33,15
MARECHAL HERMES,Casa,2.5,3.0,13.33,13.33,15
MARECHAL HERMES,Casa,3.0,3.5,13.33,13.33,15
MARIA DA GRAÇA,Apartamento,2.0,2.5,0.00,0.00,38
MARIA DA GRAÇA,Apartamento,2.5,3.0,0.00,0.00,38
MARIA DA GRAÇA,Apartamento,3.0,3.5,0.00,0.00,38
MARIA DA GRAÇA,Casa,2.0,2.5,0.00,0.00,2
MARIA DA GRAÇA,Casa,2.5,3.0,0.00,0.00,2
MARIA DA GRAÇA,Casa,3.0,3.5,0.00,0.00,2
MÉIER,Apartamento,2.0,2.5,2.62,1.70,648
MÉIER,Apartamento,2.5,3.0,1.39,0.77,648
MÉIER,Apartamento,3.0,3.5,0.46,0.00,648
MÉIER,Casa,2.0,2.5,0.00,0.00,31
MÉIER,Casa,2.5,3.0,0.00,0.00,31
MÉIER,Casa,3.0,3.5,0.00,0.00,31
MONERÓ,Apartamento,2.0,2.5,0.00,5.00,40
MONERÓ,Apartamento,2.5,3.0,0.00,5.00,40
MONERÓ,Apartamento,3.0,3.5,0.00,0.00,40
MONERÓ,Casa,2.0,2.5,0.00,0.00,3
MONERÓ,Casa,2.5,3.0,0.00,0.00,3
MONERÓ,Casa,3.0,3.5,0.00,0.00,3
OLARIA,Apartamento,2.0,2.5,0.00,0.00,123
OLARIA,Apartamento,2.5,3.0,0.00,0.00,123
OLARIA,Apartamento,3.0,3.5,0.00,0.00,123
OLARIA,Casa,2.0,2.5,0.00,5.56,36
OLARIA,Casa,2.5,3.0,0.00,5.56,36
OLARIA,Casa,3.0,3.5,0.00,5.56,36
OSVALDO CRUZ,Apartamento,2.0,2.5,0.00,0.00,10
OSVALDO CRUZ,Apartamento,2.5,3.0,0.00,0.00,10
OSVALDO CRUZ,Apartamento,3.0,3.5,0.00,0.00,10
OSVALDO CRUZ,Casa,2.0,2.5,0.00,0.00,18
OSVALDO CRUZ,Casa,2.5,3.0,0.00,0.00,18
OSVALDO CRUZ,Casa,3.0,3.5,0.00,0.00,18
PACIÊNCIA,Apartamento,2.0,2.5,0.00,0.00,40
PACIÊNCIA,Apartamento,2.5,3.0,0.00,0.00,40
PACIÊNCIA,Apartamento,3.0,3.5,0.00,0.00,40
PACIÊNCIA,Casa,2.0,2.5,0.00,0.00,2
PACIÊNCIA,Casa,2.5,3.0,0.00,0.00,2
PACIÊNCIA,Casa,3.0,3.5,0.00,0.00,2
PADRE MIGUEL,Apartamento,2.0,2.5,0.00,0.00,6
PADRE MIGUEL,Apartamento,2.5,3.0,0.00,0.00,6
PADRE MIGUEL,Apartamento,3.0,3.5,0.00,0.00,6
PADRE MIGUEL,Casa,2.0,2.5,0.00,13.33,15
PADRE MIGUEL,Casa,2.5,3.0,0.00,0.00,15
PADRE MIGUEL,Casa,3.0,3.5,0.00,0.00,15
PAQUETÁ,Apartamento,2.0,2.5,0.00,0.00,8
PAQUETÁ,Apartamento,2.5,3.0,0.00,0.00,8
PAQUETÁ,Apartamento,3.0,3.5,0.00,0.00,8
PAQUETÁ,Casa,2.0,2.5,0.00,0.00,2
PAQUETÁ,Casa,2.5,3.0,0.00,0.00,2
PAQUETÁ,Casa,3.0,3.5,0.00,0.00,2
PARADA DE LUCAS,Apartamento,2.0,2.5,10.56,0.00,142
PARADA DE LUCAS,Apartamento,2.5,3.0,10.56,0.00,142
PARADA DE LUCAS,Apartamento,3.0,3.5,10.56,0.00,142
PARQUE ANCHIETA,Casa,2.0,2.5,16.67,0.00,12
PARQUE ANCHIETA,Casa,2.5,3.0,0.00,0.00,12
PARQUE ANCHIETA,Casa,3.0,3.5,0.00,0.00,12
PARQUE COLÚMBIA,Apartamento,2.0,2.5,0.00,0.00,2
PARQUE COLÚMBIA,Apartamento,2.5,3.0,0.00,0.00,2
PARQUE COLÚMBIA,Apartamento,3.0,3.5,0.00,0.00,2
PARQUE COLÚMBIA,Casa,2.0,2.5,0.00,0.00,2
PARQUE COLÚMBIA,Casa,2.5,3.0,0.00,0.00,2
PARQUE COLÚMBIA,Casa,3.0,3.5,0.00,0.00,2
PAVUNA,Apartamento,2.0,2.5,0.00,0.00,10
PAVUNA,Apartamento,2.5,3.0,0.00,0.00,10
PAVUNA,Apartamento,3.0,3.5,0.00,0.00,10
PAVUNA,Casa,2.0,2.5,0.00,0.00,30
PAVUNA,Casa,2.5,3.0,0.00,0.00,30
PAVUNA,Casa,3.0,3.5,0.00,0.00,30
PECHINCHA,Apartamento,2.0,2.5,3.49,0.00,1002
PECHINCHA,Apartamento,2.5,3.0,1.50,0.00,1002
PECHINCHA,Apartamento,3.0,3.5,0.40,0.00,1002
PECHINCHA,Casa,2.0,2.5,4.88,0.00,41
PECHINCHA,Casa,2.5,3.0,0.00,0.00,41
PECHINCHA,Casa,3.0,3.5,0.00,0.00,41
PEDRA DE GUARATIBA,Apartamento,2.0,2.5,0.00,0.00,2
PEDRA DE GUARATIBA,Apartamento,2.5,3.0,0.00,0.00,2
PEDRA DE GUARATIBA,Apartamento,3.0,3.5,0.00,0.00,2
PEDRA DE GUARATIBA,Casa,2.0,2.5,0.00,0.00,14
PEDRA DE GUARATIBA,Casa,2.5,3.0,0.00,0.00,14
PEDRA DE GUARATIBA,Casa,3.0,3.5,0.00,0.00,14
PENHA,Apartamento,2.0,2.5,4.55,0.00,220
PENHA,Apartamento,2.5,3.0,1.82,0.00,220
PENHA,Apartamento,3.0,3.5,1.82,0.00,220
PENHA,Casa,2.0,2.5,16.67,16.67,24
PENHA,Casa,2.5,3.0,0.00,8.33,24
PENHA,Casa,3.0,3.5,0.00,8.33,24
PENHA CIRCULAR,Apartamento,2.0,2.5,1.69,0.00,118
PENHA CIRCULAR,Apartamento,2.5,3.0,0.00,0.00,118
PENHA CIRCULAR,Apartamento,3.0,3.5,0.00,0.00,118
PENHA CIRCULAR,Casa,2.0,2.5,17.65,0.00,34
PENHA CIRCULAR,Casa,2.5,3.0,0.00,0.00,34
PENHA CIRCULAR,Casa,3.0,3.5,0.00,0.00,34
PIEDADE,Apartamento,2.0,2.5,2.44,0.00,82
PIEDADE,Apartamento,2.5,3.0,0.00,0.00,82
PIEDADE,Apartamento,3.0,3.5,0.00,0.00,82
PIEDADE,Casa,2.0,2.5,0.00,0.00,41
PIEDADE,Casa,2.5,3.0,0.00,0.00,41
PIEDADE,Casa,3.0,3.5,0.00,0.00,41
PILARES,Apartamento,2.0,2.5,24.00,0.00,25
PILARES,Apartamento,2.5,3.0,24.00,0.00,25
PILARES,Apartamento,3.0,3.5,16.00,0.00,25
PILARES,Casa,2.0,2.5,14.29,9.52,21
PILARES,Casa,2.5,3.0,14.29,9.52,21
PILARES,Casa,3.0,3.5,14.29,9.52,21
PITANGUEIRAS,Apartamento,2.0,2.5,14.29,0.00,14
PITANGUEIRAS,Apartamento,2.5,3.0,14.29,0.00,14
PITANGUEIRAS,Apartamento,3.0,3.5,0.00,0.00,14
PITANGUEIRAS,Casa,2.0,2.5,0.00,0.00,6
PITANGUEIRAS,Casa,2.5,3.0,0.00,0.00,6
PITANGUEIRAS,Casa,3.0,3.5,0.00,0.00,6
PORTUGUESA,Apartamento,2.0,2.5,0.00,12.12,33
PORTUGUESA,Apartamento,2.5,3.0,0.00,12.12,33
PORTUGUESA,Apartamento,3.0,3.5,0.00,12.12,33
PORTUGUESA,Casa,2.0,2.5,11.76,23.53,17
PORTUGUESA,Casa,2.5,3.0,0.00,23.53,17
PORTUGUESA,Casa,3.0,3.5,0.00,11.76,17
PRAÇA DA BANDEIRA,Apartamento,2.0,2.5,0.00,0.00,110
PRAÇA DA BANDEIRA,Apartamento,2.5,3.0,0.00,0.00,110
PRAÇA DA BANDEIRA,Apartamento,3.0,3.5,0.00,0.00,110
PRAÇA SECA,Apartamento,2.0,2.5,4.33,0.46,439
PRAÇA SECA,Apartamento,2.5,3.0,1.82,0.46,439
PRAÇA SECA,Apartamento,3.0,3.5,1.82,0.00,439
PRAÇA SECA,Casa,2.0,2.5,0.00,5.17,58
PRAÇA SECA,Casa,2.5,3.0,0.00,5.17,58
PRAÇA SECA,Casa,3.0,3.5,0.00,5.17,58
PRAIA DA BANDEIRA,Apartamento,2.0,2.5,41.67,0.00,12
PRAIA DA BANDEIRA,Apartamento,2.5,3.0,41.67,0.00,12
PRAIA DA BANDEIRA,Apartamento,3.0,3.5,41.67,0.00,12
PRAIA DA BANDEIRA,Casa,2.0,2.5,0.00,0.00,2
PRAIA DA BANDEIRA,Casa,2.5,3.0,0.00,0.00,2
PRAIA DA BANDEIRA,Casa,3.0,3.5,0.00,0.00,2
QUINTINO BOCAIÚVA,Apartamento,2.0,2.5,12.31,0.00,65
QUINTINO BOCAIÚVA,Apartamento,2.5,3.0,3.08,0.00,65
QUINTINO BOCAIÚVA,Apartamento,3.0,3.5,0.00,0.00,65
QUINTINO BOCAIÚVA,Casa,2.0,2.5,0.00,0.00,16
QUINTINO BOCAIÚVA,Casa,2.5,3.0,0.00,0.00,16
QUINTINO BOCAIÚVA,Casa,3.0,3.5,0.00,0.00,16
RAMOS,Apartamento,2.0,2.5,4.94,0.00,81
RAMOS,Apartamento,2.5,3.0,2.47,0.00,81
RAMOS,Apartamento,3.0,3.5,2.47,0.00,81
RAMOS,Casa,2.0,2.5,10.00,10.00,20
RAMOS,Casa,2.5,3.0,10.00,10.00,20
RAMOS,Casa,3.0,3.5,10.00,10.00,20
REALENGO,Apartamento,2.0,2.5,9.09,0.00,66
REALENGO,Apartamento,2.5,3.0,0.00,0.00,66
REALENGO,Apartamento,3.0,3.5,0.00,0.00,66
REALENGO,Casa,2.0,2.5,6.98,4.65,43
REALENGO,Casa,2.5,3.0,0.00,0.00,43
REALENGO,Casa,3.0,3.5,0.00,0.00,43
RECREIO DOS BANDEIRANTES,Apartamento,2.0,2.5,2.09,3.56,4076
RECREIO DOS BANDEIRANTES,Apartamento,2.5,3.0,1.10,2.53,4076
RECREIO DOS BANDEIRANTES,Apartamento,3.0,3.5,0.56,1.64,4076
RECREIO DOS BANDEIRANTES,Casa,2.0,2.5,2.63,0.00,114
RECREIO DOS BANDEIRANTES,Casa,2.5,3.0,2.63,0.00,114
RECREIO DOS BANDEIRANTES,Casa,3.0,3.5,2.63,0.00,114
RIACHUELO,Apartamento,2.0,2.5,0.00,3.61,83
RIACHUELO,Apartamento,2.5,3.0,0.00,0.00,83
RIACHUELO,Apartamento,3.0,3.5,0.00,0.00,83
RIACHUELO,Casa,2.0,2.5,0.00,0.00,10
RIACHUELO,Casa,2.5,3.0,0.00,0.00,10
RIACHUELO,Casa,3.0,3.5,0.00,0.00,10
RIBEIRA,Apartamento,2.0,2.5,4.44,0.00,45
RIBEIRA,Apartamento,2.5,3.0,4.44,0.00,45
RIBEIRA,Apartamento,3.0,3.5,0.00,0.00,45
RICARDO DE ALBUQUERQUE,Apartamento,2.0,2.5,0.00,0.00,2
RICARDO DE ALBUQUERQUE,Apartamento,2.5,3.0,0.00,0.00,2
RICARDO DE ALBUQUERQUE,Apartamento,3.0,3.5,0.00,0.00,2
RICARDO DE ALBUQUERQUE,Casa,2.0,2.5,0.00,0.00,11
RICARDO DE ALBUQUERQUE,Casa,2.5,3.0,0.00,0.00,11
RICARDO DE ALBUQUERQUE,Casa,3.0,3.5,0.00,0.00,11
RIO COMPRIDO,Apartamento,2.0,2.5,0.00,0.00,511
RIO COMPRIDO,Apartamento,2.5,3.0,0.00,0.00,511
RIO COMPRIDO,Apartamento,3.0,3.5,0.00,0.00,511
RIO COMPRIDO,Casa,2.0,2.5,0.00,0.00,10
RIO COMPRIDO,Casa,2.5,3.0,0.00,0.00,10
RIO COMPRIDO,Casa,3.0,3.5,0.00,0.00,10
ROCHA,Apartamento,2.0,2.5,0.00,0.00,40
ROCHA,Apartamento,2.5,3.0,0.00,0.00,40
ROCHA,Apartamento,3.0,3.5,0.00,0.00,40
ROCHA,Casa,2.0,2.5,0.00,0.00,4
ROCHA,Casa,2.5,3.0,0.00,0.00,4
ROCHA,Casa,3.0,3.5,0.00,0.00,4
ROCHA MIRANDA,Apartamento,2.0,2.5,0.00,36.36,11
ROCHA MIRANDA,Apartamento,2.5,3.0,0.00,36.36,11
ROCHA MIRANDA,Apartamento,3.0,3.5,0.00,18.18,11
ROCHA MIRANDA,Casa,2.0,2.5,0.00,0.00,4
ROCHA MIRANDA,Casa,2.5,3.0,0.00,0.00,4
ROCHA MIRANDA,Casa,3.0,3.5,0.00,0.00,4
SAMPAIO,Apartamento,2.0,2.5,13.33,0.00,15
SAMPAIO,Apartamento,2.5,3.0,13.33,0.00,15
SAMPAIO,Apartamento,3.0,3.5,13.33,0.00,15
SAMPAIO,Casa,2.0,2.5,0.00,0.00,2
SAMPAIO,Casa,2.5,3.0,0.00,0.00,2
SAMPAIO,Casa,3.0,3.5,0.00,0.00,2
SANTA CRUZ,Apartamento,2.0,2.5,0.00,47.90,309
SANTA CRUZ,Apartamento,2.5,3.0,0.00,5.50,309
SANTA CRUZ,Apartamento,3.0,3.5,0.00,0.00,309
SANTA CRUZ,Casa,2.0,2.5,0.00,0.00,4
SANTA CRUZ,Casa,2.5,3.0,0.00,0.00,4
SANTA CRUZ,Casa,3.0,3.5,0.00,0.00,4
SANTA TERESA,Apartamento,2.0,2.5,6.56,0.00,259
SANTA TERESA,Apartamento,2.5,3.0,0.00,0.00,259
SANTA TERESA,Apartamento,3.0,3.5,0.00,0.00,259
SANTA TERESA,Casa,2.0,2.5,0.00,33.33,6
SANTA TERESA,Casa,2.5,3.0,0.00,33.33,6
SANTA TERESA,Casa,3.0,3.5,0.00,0.00,6
SANTÍSSIMO,Apartamento,2.0,2.5,0.00,0.00,122
SANTÍSSIMO,Apartamento,2.5,3.0,0.00,0.00,122
SANTÍSSIMO,Apartamento,3.0,3.5,0.00,0.00,122
SANTÍSSIMO,Casa,2.0,2.5,21.21,24.24,33
SANTÍSSIMO,Casa,2.5,3.0,12.12,24.24,33
SANTÍSSIMO,Casa,3.0,3.5,12.12,24.24,33
SANTO CRISTO,Apartamento,2.0,2.5,21.61,0.00,583
SANTO CRISTO,Apartamento,2.5,3.0,21.61,0.00,583
SANTO CRISTO,Apartamento,3.0,3.5,21.61,0.00,583
SANTO CRISTO,Casa,2.0,2.5,0.00,0.00,4
SANTO CRISTO,Casa,2.5,3.0,0.00,0.00,4
SANTO CRISTO,Casa,3.0,3.5,0.00,0.00,4
SÃO CONRADO,Apartamento,2.0,2.5,0.71,19.29,280
SÃO CONRADO,Apartamento,2.5,3.0,0.00,19.29,280
SÃO CONRADO,Apartamento,3.0,3.5,0.00,17.86,280
SÃO CRISTÓVÃO,Apartamento,2.0,2.5,3.06,0.00,490
SÃO CRISTÓVÃO,Apartamento,2.5,3.0,1.22,0.00,490
SÃO CRISTÓVÃO,Apartamento,3.0,3.5,0.41,0.00,490
SÃO CRISTÓVÃO,Casa,2.0,2.5,14.29,0.00,14
SÃO CRISTÓVÃO,Casa,2.5,3.0,14.29,0.00,14
SÃO CRISTÓVÃO,Casa,3.0,3.5,14.29,0.00,14
SÃO FRANCISCO XAVIER,Apartamento,2.0,2.5,0.74,0.00,408
SÃO FRANCISCO XAVIER,Apartamento,2.5,3.0,0.00,0.00,408
SÃO FRANCISCO XAVIER,Apartamento,3.0,3.5,0.00,0.00,408
SAÚDE,Casa,2.0,2.5,0.00,0.00,4
SAÚDE,Casa,2.5,3.0,0.00,0.00,4
SAÚDE,Casa,3.0,3.5,0.00,0.00,4
SENADOR CAMARÁ,Apartamento,2.0,2.5,0.00,0.00,11
SENADOR CAMARÁ,Apartamento,2.5,3.0,0.00,0.00,11
SENADOR CAMARÁ,Apartamento,3.0,3.5,0.00,0.00,11
SENADOR CAMARÁ,Casa,2.0,2.5,0.00,0.00,5
SENADOR CAMARÁ,Casa,2.5,3.0,0.00,0.00,5
SENADOR CAMARÁ,Casa,3.0,3.5,0.00,0.00,5
SENADOR VASCONCELOS,Apartamento,2.0,2.5,0.00,0.00,6
SENADOR VASCONCELOS,Apartamento,2.5,3.0,0.00,0.00,6
SENADOR VASCONCELOS,Apartamento,3.0,3.5,0.00,0.00,6
SENADOR VASCONCELOS,Casa,2.0,2.5,0.00,0.00,17
SENADOR VASCONCELOS,Casa,2.5,3.0,0.00,0.00,17
SENADOR VASCONCELOS,Casa,3.0,3.5,0.00,0.00,17
TANQUE,Apartamento,2.0,2.5,1.59,0.00,126
TANQUE,Apartamento,2.5,3.0,0.00,0.00,126
TANQUE,Apartamento,3.0,3.5,0.00,0.00,126
TANQUE,Casa,2.0,2.5,0.00,15.79,19
TANQUE,Casa,2.5,3.0,0.00,15.79,19
TANQUE,Casa,3.0,3.5,0.00,0.00,19
TAQUARA,Apartamento,2.0,2.5,4.17,4.35,1080
TAQUARA,Apartamento,2.5,3.0,2.41,3.80,1080
TAQUARA,Apartamento,3.0,3.5,1.39,1.02,1080
TAQUARA,Casa,2.0,2.5,8.89,0.00,45
TAQUARA,Casa,2.5,3.0,4.44,0.00,45
TAQUARA,Casa,3.0,3.5,0.00,0.00,45
TAUÁ,Apartamento,2.0,2.5,0.00,0.00,65
TAUÁ,Apartamento,2.5,3.0,0.00,0.00,65
TAUÁ,Apartamento,3.0,3.5,0.00,0.00,65
TAUÁ,Casa,2.0,2.5,0.00,16.67,12
TAUÁ,Casa,2.5,3.0,0.00,16.67,12
TAUÁ,Casa,3.0,3.5,0.00,16.67,12
TIJUCA,Apartamento,2.0,2.5,3.02,3.30,3967
TIJUCA,Apartamento,2.5,3.0,1.56,0.40,3967
TIJUCA,Apartamento,3.0,3.5,1.01,0.35,3967
TIJUCA,Casa,2.0,2.5,6.45,0.00,31
TIJUCA,Casa,2.5,3.0,6.45,0.00,31
TIJUCA,Casa,3.0,3.5,0.00,0.00,31
TODOS OS SANTOS,Apartamento,2.0,2.5,3.96,0.00,682
TODOS OS SANTOS,Apartamento,2.5,3.0,0.88,0.00,682
TODOS OS SANTOS,Apartamento,3.0,3.5,0.00,0.00,682
TODOS OS SANTOS,Casa,2.0,2.5,0.00,11.76,17
TODOS OS SANTOS,Casa,2.5,3.0,0.00,11.76,17
TODOS OS SANTOS,Casa,3.0,3.5,0.00,11.76,17
TOMÁS COELHO,Apartamento,2.0,2.5,0.00,0.00,4
TOMÁS COELHO,Apartamento,2.5,3.0,0.00,0.00,4
TOMÁS COELHO,Apartamento,3.0,3.5,0.00,0.00,4
TOMÁS COELHO,Casa,2.0,2.5,0.00,0.00,4
TOMÁS COELHO,Casa,2.5,3.0,0.00,0.00,4
TOMÁS COELHO,Casa,3.0,3.5,0.00,0.00,4
TURIAÇÚ,Apartamento,2.0,2.5,0.00,0.00,10
TURIAÇÚ,Apartamento,2.5,3.0,0.00,0.00,10
TURIAÇÚ,Apartamento,3.0,3.5,0.00,0.00,10
TURIAÇÚ,Casa,2.0,2.5,0.00,0.00,4
TURIAÇÚ,Casa,2.5,3.0,0.00,0.00,4
TURIAÇÚ,Casa,3.0,3.5,0.00,0.00,4
URCA,Apartamento,2.0,2.5,0.00,11.36,44
URCA,Apartamento,2.5,3.0,0.00,11.36,44
URCA,Apartamento,3.0,3.5,0.00,6.82,44
URCA,Casa,2.0,2.5,0.00,0.00,2
URCA,Casa,2.5,3.0,0.00,0.00,2
URCA,Casa,3.0,3.5,0.00,0.00,2
VARGEM GRANDE,Apartamento,2.0,2.5,4.08,8.16,147
VARGEM GRANDE,Apartamento,2.5,3.0,4.08,8.16,147
VARGEM GRANDE,Apartamento,3.0,3.5,4.08,8.16,147
VARGEM GRANDE,Casa,2.0,2.5,0.00,0.00,35
VARGEM GRANDE,Casa,2.5,3.0,0.00,0.00,35
VARGEM GRANDE,Casa,3.0,3.5,0.00,0.00,35
VARGEM PEQUENA,Apartamento,2.0,2.5,0.00,10.14,148
VARGEM PEQUENA,Apartamento,2.5,3.0,0.00,0.00,148
VARGEM PEQUENA,Apartamento,3.0,3.5,0.00,0.00,148
VARGEM PEQUENA,Casa,2.0,2.5,30.68,0.00,88
VARGEM PEQUENA,Casa,2.5,3.0,30.68,0.00,88
VARGEM PEQUENA,Casa,3.0,3.5,12.50,0.00,88
VASCO DA GAMA,Apartamento,2.0,2.5,0.00,0.00,9
VASCO DA GAMA,Apartamento,2.5,3.0,0.00,0.00,9
VASCO DA GAMA,Apartamento,3.0,3.5,0.00,0.00,9
VAZ LOBO,Apartamento,2.0,2.5,5.00,0.00,40
VAZ LOBO,Apartamento,2.5,3.0,5.00,0.00,40
VAZ LOBO,Apartamento,3.0,3.5,5.00,0.00,40
VAZ LOBO,Casa,2.0,2.5,0.00,0.00,4
VAZ LOBO,Casa,2.5,3.0,0.00,0.00,4
VAZ LOBO,Casa,3.0,3.5,0.00,0.00,4
VICENTE DE CARVALHO,Apartamento,2.0,2.5,12.05,0.00,83
VICENTE DE CARVALHO,Apartamento,2.5,3.0,9.64,0.00,83
VICENTE DE CARVALHO,Apartamento,3.0,3.5,9.64,0.00,83
VICENTE DE CARVALHO,Casa,2.0,2.5,0.00,0.00,14
VICENTE DE CARVALHO,Casa,2.5,3.0,0.00,0.00,14
VICENTE DE CARVALHO,Casa,3.0,3.5,0.00,0.00,14
VIDIGAL,Apartamento,2.0,2.5,0.00,0.00,8
VIDIGAL,Apartamento,2.5,3.0,0.00,0.00,8
VIDIGAL,Apartamento,3.0,3.5,0.00,0.00,8
VIGÁRIO GERAL,Apartamento,2.0,2.5,0.00,0.00,2
VIGÁRIO GERAL,Apartamento,2.5,3.0,0.00,0.00,2
VIGÁRIO GERAL,Apartamento,3.0,3.5,0.00,0.00,2
VILA DA PENHA,Apartamento,2.0,2.5,0.00,0.00,289
VILA DA PENHA,Apartamento,2.5,3.0,0.00,0.00,289
VILA DA PENHA,Apartamento,3.0,3.5,0.00,0.00,289
VILA DA PENHA,Casa,2.0,2.5,0.00,0.00,23
VILA DA PENHA,Casa,2.5,3.0,0.00,0.00,23
VILA DA PENHA,Casa,3.0,3.5,0.00,0.00,23
VILA ISABEL,Apartamento,2.0,2.5,1.67,0.00,1079
VILA ISABEL,Apartamento,2.5,3.0,0.56,0.00,1079
VILA ISABEL,Apartamento,3.0,3.5,0.37,0.00,1079
VILA ISABEL,Casa,2.0,2.5,0.00,0.00,36
VILA ISABEL,Casa,2.5,3.0,0.00,0.00,36
VILA ISABEL,Casa,3.0,3.5,0.00,0.00,36
VILA KOSMOS,Apartamento,2.0,2.5,0.00,10.53,19
VILA KOSMOS,Apartamento,2.5,3.0,0.00,0.00,19
VILA KOSMOS,Apartamento,3.0,3.5,0.00,0.00,19
VILA KOSMOS,Casa,2.0,2.5,0.00,0.00,20
VILA KOSMOS,Casa,2.5,3.0,0.00,0.00,20
VILA KOSMOS,Casa,3.0,3.5,0.00,0.00,20
VILA VALQUEIRE,Apartamento,2.0,2.5,6.48,0.00,216
VILA VALQUEIRE,Apartamento,2.5,3.0,3.70,0.00,216
VILA VALQUEIRE,Apartamento,3.0,3.5,0.93,0.00,216
VILA VALQUEIRE,Casa,2.0,2.5,0.00,0.00,30
VILA VALQUEIRE,Casa,2.5,3.0,0.00,0.00,30
VILA VALQUEIRE,Casa,3.0,3.5,0.00,0.00,30
VISTA ALEGRE,Apartamento,2.0,2.5,0.00,20.00,10
VISTA ALEGRE,Apartamento,2.5,3.0,0.00,20.00,10
VISTA ALEGRE,Apartamento,3.0,3.5,0.00,0.00,10
VISTA ALEGRE,Casa,2.0,2.5,33.33,0.00,6
VISTA ALEGRE,Casa,2.5,3.0,33.33,0.00,6
VISTA ALEGRE,Casa,3.0,3.5,33.33,0.00,6
ZUMBI,Apartamento,2.0,2.5,30.77,0.00,26
ZUMBI,Apartamento,2.5,3.0,7.69,0.00,26
ZUMBI,Apartamento,3.0,3.5,0.00,0.00,26
