bairro,tipologia,k_inf,k_sup,pct_corte_baixo,pct_corte_alto,escrituras
CIDADE DE DEUS,Casa,3.0,3.5,0.00,0.00,5
CIDADE NOVA,Apartamento,2.0,2.5,0.00,25.00,8
CIDADE NOVA,Apartamento,2.5,3.0,0.00,0.00,8
CIDADE NOVA,Apartamento,3.0,3.5,0.00,0.00,8
COCOTÁ,Apartamento,2.0,2.5,27.78,0.00,18
COCOTÁ,Apartamento,2.5,3.0,16.67,0.00,18
COCOTÁ,Apartamento,3.0,3.5,16.67,0.00,18
COCOTÁ,Casa,2.0,2.5,0.00,0.00,2
COCOTÁ,Casa,2.5,3.0,0.00,0.00,2
COCOTÁ,Casa,3.0,3.5,0.00,0.00,2
COELHO NETO,Apartamento,2.0,2.5,0.00,0.00,2
COELHO NETO,Apartamento,2.5,3.0,0.00,0.00,2
COELHO NETO,Apartamento,3.0,3.5,0.00,0.00,2
COELHO NETO,Casa,2.0,2.5,0.00,0.00,5
COELHO NETO,Casa,2.5,3.0,0.00,0.00,5
COELHO NETO,Casa,3.0,3.5,0.00,0.00,5
COLÉGIO,Apartamento,2.0,2.5,16.67,0.00,24
COLÉGIO,Apartamento,2.5,3.0,16.67,0.00,24
COLÉGIO,Apartamento,3.0,3.5,16.67,0.00,24
COPACABANA,Apartamento,2.0,2.5,8.28,5.58,6822
COPACABANA,Apartamento,2.5,3.0,4.09,5.17,6822
COPACABANA,Apartamento,3.0,3.5,2.98,4.29,6822
COPACABANA,Casa,2.0,2.5,0.00,0.00,2
COPACABANA,Casa,2.5,3.0,0.00,0.00,2
COPACABANA,Casa,3.0,3.5,0.00,0.00,2
COPACABANA,Comercial,2.0,2.5,25.35,0.00,71
COPACABANA,Comercial,2.5,3.0,9.86,0.00,71
COPACABANA,Comercial,3.0,3.5,0.00,0.00,71
CORDOVIL,Apartamento,2.0,2.5,0.00,0.00,10
CORDOVIL,Apartamento,2.5,3.0,0.00,0.00,10
CORDOVIL,Apartamento,3.0,3.5,0.00,0.00,10
CORDOVIL,Casa,2.0,2.5,0.00,0.00,6
CORDOVIL,Casa,2.5,3.0,0.00,0.00,6
CORDOVIL,Casa,3.0,3.5,0.00,0.00,6
COSME VELHO,Apartamento,2.0,2.5,9.68,0.00,62
COSME VELHO,Apartamento,2.5,3.0,6.45,0.00,62
COSME VELHO,Apartamento,3.0,3.5,6.45,0.00,62
COSME VELHO,Casa,2.0,2.5,0.00,0.00,2
COSME VELHO,Casa,2.5,3.0,0.00,0.00,2
COSME VELHO,Casa,3.0,3.5,0.00,0.00,2
COSMOS,Apartamento,2.0,2.5,2.08,0.00,144
COSMOS,Apartamento,2.5,3.0,0.00,0.00,144
COSMOS,Apartamento,3.0,3.5,0.00,0.00,144
COSMOS,Casa,2.0,2.5,0.00,0.00,55
COSMOS,Casa,2.5,3.0,0.00,0.00,55
COSMOS,Casa,3.0,3.5,0.00,0.00,55
CURICICA,Apartamento,2.0,2.5,13.23,0.00,257
CURICICA,Apartamento,2.5,3.0,13.23,0.00,257
CURICICA,Apartamento,3.0,3.5,12.45,0.00,257
CURICICA,Casa,2.0,2.5,0.00,0.00,15
CURICICA,Casa,2.5,3.0,0.00,0.00,15
CURICICA,Casa,3.0,3.5,0.00,0.00,15
DEL CASTILHO,Apartamento,2.0,2.5,2.23,0.00,449
DEL CASTILHO,Apartamento,2.5,3.0,0.89,0.00,449
DEL CASTILHO,Apartamento,3.0,3.5,0.45,0.00,449
DEL CASTILHO,Casa,2.0,2.5,0.00,0.00,2
DEL CASTILHO,Casa,2.5,3.0,0.00,0.00,2
DEL CASTILHO,Casa,3.0,3.5,0.00,0.00,2
ENCANTADO,Apartamento,2.0,2.5,16.13,12.90,31
ENCANTADO,Apartamento,2.5,3.0,6.45,6.45,31
ENCANTADO,Apartamento,3.0,3.5,0.00,6.45,31
ENCANTADO,Casa,2.0,2.5,0.00,0.00,4
ENCANTADO,Casa,2.5,3.0,0.00,0.00,4
ENCANTADO,Casa,3.0,3.5,0.00,0.00,4
ENGENHO DA RAINHA,Apartamento,2.0,2.5,0.00,0.00,17
ENGENHO DA RAINHA,Apartamento,2.5,3.0,0.00,0.00,17
ENGENHO DA RAINHA,Apartamento,3.0,3.5,0.00,0.00,17
ENGENHO DA RAINHA,Casa,2.0,2.5,0.00,33.33,6
ENGENHO DA RAINHA,Casa,2.5,3.0,0.00,33.33,6
ENGENHO DA RAINHA,Casa,3.0,3.5,0.00,33.33,6
ENGENHO DE DENTRO,Apartamento,2.0,2.5,3.26,0.00,522
ENGENHO DE DENTRO,Apartamento,2.5,3.0,1.92,0.00,522
ENGENHO DE DENTRO,Apartamento,3.0,3.5,0.38,0.00,522
ENGENHO DE DENTRO,Casa,2.0,2.5,11.76,0.00,17
ENGENHO DE DENTRO,Casa,2.5,3.0,11.76,0.00,17
ENGENHO DE DENTRO,Casa,3.0,3.5,11.76,0.00,17
ENGENHO NOVO,Apartamento,2.0,2.5,3.70,0.93,216
ENGENHO NOVO,Apartamento,2.5,3.0,0.93,0.93,216
ENGENHO NOVO,Apartamento,3.0,3.5,0.00,0.00,216
ENGENHO NOVO,Casa,2.0,2.5,16.67,16.67,12
ENGENHO NOVO,Casa,2.5,3.0,16.67,16.67,12
ENGENHO NOVO,Casa,3.0,3.5,16.67,16.67,12
ESTÁCIO,Apartamento,2.0,2.5,0.00,0.00,54
ESTÁCIO,Apartamento,2.5,3.0,0.00,0.00,54
ESTÁCIO,Apartamento,3.0,3.5,0.00,0.00,54
ESTÁCIO,Casa,2.0,2.5,0.00,0.00,2
ESTÁCIO,Casa,2.5,3.0,0.00,0.00,2
ESTÁCIO,Casa,3.0,3.5,0.00,0.00,2
