bairro,tipologia,k_inf,k_sup,escrituras,pct_corte_baixo,pct_corte_alto,mediana_m2,cerca_inferior_m2,cerca_superior_m2
VARGEM PEQUENA,Apartamento,2.0,2.5,296,,5.74,4494,3718,5694
VARGEM PEQUENA,Apartamento,2.5,3.0,296,,5.74,4494,3546,5971
VARGEM PEQUENA,Apartamento,3.0,3.5,296,,,4494,3382,6260
BARRA DA TIJUCA,Casa,2.0,2.5,294,2.04,,7411,4782,12815
BARRA DA TIJUCA,Casa,2.5,3.0,294,1.36,,7411,4286,14299
BARRA DA TIJUCA,Casa,3.0,3.5,294,1.36,,7411,3841,15954
RECREIO DOS BANDEIRANTES,Casa,2.0,2.5,292,9.25,3.77,5347,4532,6576
RECREIO DOS BANDEIRANTES,Casa,2.5,3.0,292,2.40,,5347,4349,6853
RECREIO DOS BANDEIRANTES,Casa,3.0,3.5,292,1.71,,5347,4173,7142
CURICICA,Apartamento,2.0,2.5,252,9.92,,6292,4032,10974
CURICICA,Apartamento,2.5,3.0,252,0.79,,6292,3607,12265
CURICICA,Apartamento,3.0,3.5,252,,,6292,3227,13709
GUARATIBA,Casa,2.0,2.5,240,0.83,0.83,1704,1240,2534
GUARATIBA,Casa,2.5,3.0,240,,,1704,1145,2744
GUARATIBA,Casa,3.0,3.5,240,,,1704,1058,2971
RIO COMPRIDO,Apartamento,2.0,2.5,238,,,3801,2070,8123
RIO COMPRIDO,Apartamento,2.5,3.0,238,,,3801,1778,9455
RIO COMPRIDO,Apartamento,3.0,3.5,238,,,3801,1528,11006
GLÓRIA,Apartamento,2.0,2.5,227,,12.78,7359,5326,11023
GLÓRIA,Apartamento,2.5,3.0,227,,2.20,7359,4912,11951
GLÓRIA,Apartamento,3.0,3.5,227,,2.20,7359,4531,12958
PARADA DE LUCAS,Apartamento,2.0,2.5,227,4.85,1.32,3344,2366,5152
PARADA DE LUCAS,Apartamento,2.5,3.0,227,4.85,,3344,2170,5618
PARADA DE LUCAS,Apartamento,3.0,3.5,227,3.96,,3344,1991,6125
BONSUCESSO,Apartamento,2.0,2.5,218,,,3359,2022,6335
BONSUCESSO,Apartamento,2.5,3.0,218,,,3359,1781,7193
BONSUCESSO,Apartamento,3.0,3.5,218,,,3359,1568,8166
MARECHAL HERMES,Apartamento,2.0,2.5,211,3.79,0.95,3930,3369,4765
MARECHAL HERMES,Apartamento,2.5,3.0,211,3.79,,3930,3242,4952
MARECHAL HERMES,Apartamento,3.0,3.5,211,3.79,,3930,3120,5146
VARGEM PEQUENA,Casa,2.0,2.5,181,22.65,,3841,2395,6932
VARGEM PEQUENA,Casa,2.5,3.0,181,1.66,,3841,2128,7801
VARGEM PEQUENA,Casa,3.0,3.5,181,1.66,,3841,1891,8778
COLÉGIO,Apartamento,2.0,2.5,174,5.75,,3394,2806,4306
COLÉGIO,Apartamento,2.5,3.0,174,4.02,,3394,2676,4515
COLÉGIO,Apartamento,3.0,3.5,174,1.15,,3394,2552,4735
SÃO CRISTÓVÃO,Apartamento,2.0,2.5,173,3.47,,5693,3623,10014
SÃO CRISTÓVÃO,Apartamento,2.5,3.0,173,1.16,,5693,3236,11211
SÃO CRISTÓVÃO,Apartamento,3.0,3.5,173,,,5693,2891,12551
TANQUE,Apartamento,2.0,2.5,173,,,3560,2435,5725
TANQUE,Apartamento,2.5,3.0,173,,,3560,2214,6295
TANQUE,Apartamento,3.0,3.5,173,,,3560,2013,6923
INHOAÍBA,Apartamento,2.0,2.5,171,2.34,1.17,2518,2128,3108
INHOAÍBA,Apartamento,2.5,3.0,171,1.17,,2518,2041,3242
INHOAÍBA,Apartamento,3.0,3.5,171,1.17,,2518,1957,3381
VICENTE DE CARVALHO,Apartamento,2.0,2.5,164,9.15,,3971,2900,5882
VICENTE DE CARVALHO,Apartamento,2.5,3.0,164,2.44,,3971,2681,6363
VICENTE DE CARVALHO,Apartamento,3.0,3.5,164,1.22,,3971,2478,6883
PENHA CIRCULAR,Apartamento,2.0,2.5,160,,,3051,2203,4583
PENHA CIRCULAR,Apartamento,2.5,3.0,160,,,3051,2031,4972
PENHA CIRCULAR,Apartamento,3.0,3.5,160,,,3051,1872,5393
PIEDADE,Apartamento,2.0,2.5,156,10.26,,3679,2632,5590
PIEDADE,Apartamento,2.5,3.0,156,5.13,,3679,2421,6078
PIEDADE,Apartamento,3.0,3.5,156,2.56,,3679,2226,6608
PRAÇA DA BANDEIRA,Apartamento,2.0,2.5,156,1.28,,5182,3729,7819
PRAÇA DA BANDEIRA,Apartamento,2.5,3.0,156,,,5182,3434,8489
PRAÇA DA BANDEIRA,Apartamento,3.0,3.5,156,,,5182,3163,9217
CAMPO DOS AFONSOS,Apartamento,2.0,2.5,154,3.25,,4123,3310,5427
