bairro,tipologia,k_inf,k_sup,escrituras,pct_corte_baixo,pct_corte_alto,mediana_m2,cerca_inferior_m2,cerca_superior_m2
JARDIM CARIOCA,Apartamento,2.5,3.0,57,10.53,,4093,2929,6116
JARDIM CARIOCA,Apartamento,3.0,3.5,57,10.53,,4093,2740,6539
URCA,Apartamento,2.0,2.5,56,,,13245,9960,18916
URCA,Apartamento,2.5,3.0,56,,,13245,9275,20313
URCA,Apartamento,3.0,3.5,56,,,13245,8637,21813
VILA ISABEL,Casa,2.0,2.5,56,,7.14,3196,2100,5402
VILA ISABEL,Casa,2.5,3.0,56,,3.57,3196,1890,6000
VILA ISABEL,Casa,3.0,3.5,56,,3.57,3196,1702,6664
MARIA DA GRAÇA,Apartamento,2.0,2.5,54,3.70,,3085,2365,4301
MARIA DA GRAÇA,Apartamento,2.5,3.0,54,,,3085,2213,4596
MARIA DA GRAÇA,Apartamento,3.0,3.5,54,,,3085,2071,4912
GARDÊNIA AZUL,Apartamento,2.0,2.5,53,28.30,7.55,3079,2913,3298
GARDÊNIA AZUL,Apartamento,2.5,3.0,53,11.32,7.55,3079,2873,3344
GARDÊNIA AZUL,Apartamento,3.0,3.5,53,7.55,7.55,3079,2834,3391
IRAJÁ,Casa,2.0,2.5,53,,,2184,1030,5588
IRAJÁ,Casa,2.5,3.0,53,,,2184,853,6743
IRAJÁ,Casa,3.0,3.5,53,,,2184,707,8137
BOTAFOGO,Casa,2.0,2.5,52,,,5964,3996,9838
BOTAFOGO,Casa,2.5,3.0,52,,,5964,3615,10874
BOTAFOGO,Casa,3.0,3.5,52,,,5964,3271,12019
VILA VALQUEIRE,Casa,2.0,2.5,51,5.88,,2374,1229,5404
VILA VALQUEIRE,Casa,2.5,3.0,51,5.88,,2374,1043,6370
VILA VALQUEIRE,Casa,3.0,3.5,51,,,2374,885,7510
